Ngày hạch toán,Đơn hàng,Mã KH,Mã Sản Phẩm,Số lượng bán,Đơn giá,Doanh thu,Giá vốn hàng hóa,Mã nhân viên bán,Chi nhánh
5/20/2017,ĐH0000874,KH-0071,P-032,1,8700000,8700000,5655000,NV00017,CN HN
5/21/2017,ĐH0000876,KH-0071,P-021,1,20800000,20800000,13520000,NV00017,CN HCM
5/22/2017,ĐH0000883,KH-0072,P-012,1,8500000,8500000,5100000,NV00017,CN HCM
5/23/2017,ĐH0000884,KH-0073,P-076,1,900000,900000,630000,NV00017,CN HN
5/24/2017,ĐH0000885,KH-0074,P-077,1,2700000,2700000,1620000,NV00017,CN HN
5/25/2017,ĐH0000885,KH-0074,P-078,1,3400000,3400000,2380000,NV00017,CN HN
5/26/2017,ĐH0000893,KH-0075,P-079,1,8670000,8670000,6069000,NV00017,CN HP
5/27/2017,ĐH0000893,KH-0075,P-007,1,8670000,8670000,6069000,NV00017,CN HP
5/28/2017,ĐH0000899,KH-0076,P-080,1,9850000,9850000,6402500,NV00017,CN HCM
5/29/2017,ĐH0000918,KH-0076,P-030,1,6470000,6470000,4205500,NV00017,CN HN
5/30/2017,ĐH0000921,KH-0050,P-068,1,2100000,2100000,1365000,NV00017,CN HP
5/31/2017,ĐH0000926,KH-0077,P-073,1,10300000,10300000,7210000,NV00017,CN HP
6/1/2017,ĐH0000928,KH-0078,P-081,1,1200000,1200000,780000,NV00017,CN HP
1/3/2018,ĐH0000984,KH-0052,P-007,1,8900000,8900000,6230000,NV00017,CN HCM
1/4/2018,ĐH0000987,KH-0079,P-015,1,3850000,3850000,2310000,NV00017,CN HP
1/5/2018,ĐH0000996,KH-0080,P-023,1,9386000,9386000,6570200,NV00017,CN HP
1/6/2018,ĐH0000996,KH-0080,P-045,1,5700000,5700000,3705000,NV00017,CN HP
1/7/2018,ĐH0000995,KH-0080,P-018,1,3150000,3150000,1890000,NV00017,CN HCM
1/8/2018,ĐH0000995,KH-0080,P-017,1,4178000,4178000,2715700,NV00017,CN HN
1/9/2018,ĐH0000007,KH-0081,P-023,1,9570000,9570000,6220500,NV00017,CN HN
1/10/2018,ĐH0000007,KH-0081,P-073,1,9893000,9893000,5935800,NV00017,CN HP
1/11/2018,ĐH0000013,KH-0082,P-082,1,21085200,21085200,12651120,NV00017,CN HN
1/12/2018,ĐH0000013,KH-0082,P-083,1,11831000,11831000,7690150,NV00017,CN HCM
1/13/2018,ĐH0000018,KH-0083,P-008,1,9206000,9206000,5523600,NV00017,CN HP
1/14/2018,ĐH0000034,KH-0072,P-084,1,33246000,33246000,23272200,NV00017,CN HCM
1/15/2018,ĐH0000041,KH-0084,P-085,1,5987000,5987000,3891550,NV00017,CN HP
1/16/2018,ĐH0000052,KH-0085,P-034,1,18336900,18336900,11002140,NV00017,CN HCM
1/17/2018,ĐH0000060,KH-0086,P-037,1,6700000,6700000,4690000,NV00017,CN HCM
1/18/2018,ĐH0000074,KH-0087,P-086,1,2867000,2867000,1720200,NV00017,CN HN
1/19/2018,ĐH0000076,KH-0088,P-081,1,1250000,1250000,812500,NV00017,CN HCM
1/20/2018,ĐH0000083,KH-0089,P-087,1,11800000,11800000,8260000,NV00017,CN HCM
1/21/2018,ĐH0000084,KH-0067,P-005,1,5800000,5800000,3480000,NV00017,CN HP
1/22/2018,ĐH0000085,KH-0090,P-081,1,1300000,1300000,910000,NV00017,CN HCM
1/23/2018,ĐH0000092,KH-0091,P-054,1,280000,280000,168000,NV00017,CN HP
1/24/2018,ĐH0000095,KH-0054,P-062,1,2567000,2567000,1540200,NV00017,CN HN
1/25/2018,ĐH0000099,KH-0092,P-088,1,2700000,2700000,1620000,NV00017,CN HN
1/26/2018,ĐH0000099,KH-0092,P-089,1,2425000,2425000,1697500,NV00017,CN HN
1/27/2018,ĐH0000104,KH-0093,P-007,1,8324000,8324000,5826800,NV00017,CN HCM
1/28/2018,ĐH0000109,KH-0054,P-090,1,3978000,3978000,2386800,NV00017,CN HN
1/29/2018,ĐH0000114,KH-0076,P-029,1,8500000,8500000,5525000,NV00017,CN HP
1/30/2018,ĐH0000120,KH-0094,P-007,1,8723000,8723000,5233800,NV00017,CN HN
1/31/2018,ĐH0000133,KH-0081,P-032,1,8250000,8250000,4950000,NV00017,CN HP
2/1/2018,ĐH0000137,KH-0095,P-074,1,5500000,5500000,3575000,NV00017,CN HN
2/2/2018,ĐH0000139,KH-0096,P-091,1,2411000,2411000,1446600,NV00017,CN HN
2/3/2018,ĐH0000158,KH-0074,P-092,1,10285000,10285000,6685250,NV00017,CN HP
2/4/2018,ĐH0000158,KH-0074,P-093,1,7739000,7739000,4643400,NV00017,CN HCM
2/5/2018,ĐH0000153,KH-0097,P-007,1,8700000,8700000,5220000,NV00017,CN HP
2/6/2018,ĐH0000154,KH-0098,P-021,1,20800000,20800000,14560000,NV00017,CN HP
2/7/2018,ĐH0000159,KH-0083,P-094,1,18460000,18460000,12922000,NV00017,CN HP
5/9/2015,ĐH0002174,KH-0099,P-095,1,7836000,7836000,4701600,NV00017,CN HCM
5/10/2015,ĐH0002174,KH-0099,P-096,1,1523200,1523200,913920,NV00017,CN HCM
5/11/2015,ĐH0002183,KH-0100,P-020,1,2000000,2000000,1300000,NV00020,CN HCM
5/12/2015,ĐH0002205,KH-0101,P-097,1,3552614,3552614,2309199.1,NV00017,CN HN
5/13/2015,ĐH0002205,KH-0101,P-098,1,4000000,4000000,2800000,NV00017,CN HN
5/14/2015,ĐH0002206,KH-0102,P-099,1,16905012,16905012,10143007.2,NV00017,CN HN
5/15/2015,ĐH0002206,KH-0102,P-100,1,16791000,16791000,10074600,NV00017,CN HP
5/16/2015,ĐH0002209,KH-0103,P-101,1,580000,580000,377000,NV00006,CN HN
5/17/2015,ĐH0002210,KH-0104,P-098,1,3900000,3900000,2535000,NV00020,CN HCM
5/18/2015,ĐH0002210,KH-0104,P-102,1,3100000,3100000,1860000,NV00020,CN HP
5/19/2015,ĐH0002213,KH-0105,P-103,1,9500000,9500000,5700000,NV00006,CN HP
5/20/2015,ĐH0002226,KH-0106,P-104,1,140000,140000,91000,NV00017,CN HN
5/21/2015,ĐH0002229,KH-0078,P-102,1,2800000,2800000,1680000,NV00006,CN HP
5/22/2015,ĐH0002231,KH-0107,P-105,1,13400000,13400000,8710000,NV00020,CN HN
5/23/2015,ĐH0002234,KH-0108,P-106,1,23000000,23000000,16100000,NV00017,CN HCM
5/24/2015,ĐH0002234,KH-0108,P-107,1,48600000,48600000,29160000,NV00017,CN HP
5/25/2015,ĐH0002234,KH-0108,P-108,1,22700000,22700000,14755000,NV00017,CN HP
5/26/2015,ĐH0002258,KH-0109,P-069,1,1500000,1500000,975000,NV00017,CN HCM
5/27/2015,ĐH0002266,KH-0110,P-109,1,13600000,13600000,8160000,NV00002,CN HCM
5/28/2015,ĐH0002266,KH-0110,P-110,1,5770000,5770000,3462000,NV00002,CN HN
5/29/2015,ĐH0002273,KH-0111,P-111,1,19141000,19141000,11484600,NV00020,CN HP
5/30/2015,ĐH0002278,KH-0112,P-112,1,174291000,174291000,122003700,NV00002,CN HCM
5/31/2015,ĐH0002278,KH-0112,P-112,1,174291000,174291000,104574600,NV00002,CN HP
6/1/2015,ĐH0002278,KH-0112,P-113,1,71875000,71875000,43125000,NV00002,CN HN
6/2/2015,ĐH0002278,KH-0112,P-113,1,71875000,71875000,46718750,NV00002,CN HP
6/3/2015,ĐH0002286,KH-0063,P-099,1,16812000,16812000,10087200,NV00017,CN HN
6/4/2015,ĐH0002289,KH-0110,P-114,1,2183782,2183782,1419458.3,NV00002,CN HP
6/5/2015,ĐH0002290,KH-0113,P-115,1,36999000,36999000,25899300,NV00027,CN HCM
6/6/2015,ĐH0002291,KH-0114,P-116,1,19220000,19220000,12493000,NV00020,CN HN
6/7/2015,ĐH0002293,KH-0115,P-117,1,14300000,14300000,9295000,NV00020,CN HN
6/8/2015,ĐH0002294,KH-0116,P-118,1,1681818,1681818,1177272.6,NV00004,CN HCM
6/9/2015,ĐH0002299,KH-0117,P-111,1,19358000,19358000,11614800,NV00017,CN HP
6/10/2015,ĐH0002307,KH-0118,P-119,1,67800000,67800000,40680000,NV00006,CN HN
6/11/2015,ĐH0002310,KH-0119,P-103,1,9500000,9500000,6175000,NV00019,CN HCM
6/12/2015,ĐH0002313,KH-0094,P-120,1,6100000,6100000,3965000,NV00017,CN HCM
6/13/2015,ĐH0002319,KH-0118,P-100,1,18457000,18457000,11997050,NV00006,CN HP
6/14/2015,ĐH0002327,KH-0120,P-108,1,22700000,22700000,15890000,NV00020,CN HCM
6/15/2015,ĐH0002334,KH-0121,P-121,1,4120000,4120000,2884000,NV00006,CN HP
6/16/2015,ĐH0002338,KH-0122,P-111,1,19141000,19141000,12441650,NV00020,CN HN
6/17/2015,ĐH0002340,KH-0123,P-122,1,2850000,2850000,1710000,NV00006,CN HP
6/18/2015,ĐH0002341,KH-0124,P-071,1,660000,660000,429000,NV00030,CN HN
6/19/2015,ĐH0002342,KH-0110,P-123,1,9556000,9556000,6211400,NV00002,CN HN
6/20/2015,ĐH0002346,KH-0125,P-124,1,14475000,14475000,9408750,NV00002,CN HCM
6/21/2015,ĐH0002347,KH-0126,P-117,1,14300000,14300000,10010000,NV00020,CN HCM
6/22/2015,ĐH0002350,KH-0127,P-115,1,36119000,36119000,21671400,NV00020,CN HCM
6/23/2015,ĐH0002357,KH-0128,P-111,1,19200000,19200000,12480000,NV00020,CN HP
6/24/2015,ĐH0002362,KH-0129,P-125,1,7600000,7600000,4560000,NV00030,CN HCM
6/25/2015,ĐH0002362,KH-0129,P-015,1,4098000,4098000,2663700,NV00030,CN HN
6/26/2015,ĐH0002363,KH-0130,P-103,1,9160000,9160000,5954000,NV00020,CN HP
10/4/2016,ĐH0003756,KH-0131,P-100,1,15780000,15780000,9468000,NV00015,CN HP
10/5/2016,ĐH0003759,KH-0132,P-126,1,31500000,31500000,22050000,NV00047,CN HP
10/6/2016,ĐH0003762,KH-0133,P-127,1,11175000,11175000,6705000,NV00051,CN HP
10/7/2016,ĐH0003767,KH-0134,P-128,1,4199000,4199000,2729350,NV00006,CN HP
10/8/2016,ĐH0003767,KH-0134,P-054,1,299000,299000,209300,NV00006,CN HN
10/9/2016,ĐH0003788,KH-0135,P-122,1,3130000,3130000,2191000,NV00047,CN HCM
10/10/2016,ĐH0003799,KH-0136,P-129,1,11690000,11690000,7014000,NV00006,CN HN
10/11/2016,ĐH0003802,KH-0137,P-130,1,9180000,9180000,5967000,NV00020,CN HN
10/12/2016,ĐH0003802,KH-0137,P-131,1,7968000,7968000,4780800,NV00020,CN HP
10/13/2016,ĐH0003803,KH-0099,P-096,1,2400000,2400000,1440000,NV00017,CN HP
10/14/2016,ĐH0003807,KH-0138,P-028,1,3050000,3050000,1830000,NV00048,CN HCM
10/15/2016,ĐH0003816,KH-0139,P-132,1,7200000,7200000,4680000,NV00006,CN HN
10/16/2016,ĐH0003819,KH-0140,P-028,1,2890000,2890000,2023000,NV00006,CN HN
10/17/2016,ĐH0003819,KH-0140,P-128,1,4000000,4000000,2400000,NV00006,CN HN
10/18/2016,ĐH0003827,KH-0141,P-133,1,3210000,3210000,1926000,NV00051,CN HP
10/19/2016,ĐH0003829,KH-0142,P-134,1,10113000,10113000,6067800,NV00051,CN HP
10/20/2016,ĐH0003830,KH-0143,P-135,1,700000,700000,420000,NV00056,CN HCM
10/21/2016,ĐH0003832,KH-0140,P-136,1,2890000,2890000,1878500,NV00006,CN HN
10/22/2016,ĐH0003832,KH-0140,P-128,1,4000000,4000000,2400000,NV00006,CN HP
10/23/2016,ĐH0003833,KH-0144,P-137,1,9353000,9353000,6547100,NV00051,CN HCM
10/24/2016,ĐH0003834,KH-0145,P-138,1,52000000,52000000,36400000,NV00044,CN HP
10/25/2016,ĐH0003842,KH-0146,P-139,1,3377000,3377000,2363900,NV00047,CN HP
10/26/2016,ĐH0003856,KH-0147,P-140,1,14000000,14000000,8400000,NV00002,CN HN
10/27/2016,ĐH0003866,KH-0148,P-141,1,4054000,4054000,2837800,NV00051,CN HP
10/28/2016,ĐH0003878,KH-0149,P-142,1,13502000,13502000,8776300,NV00051,CN HCM
10/29/2016,ĐH0003895,KH-0150,P-143,1,21775000,21775000,13065000,NV00020,CN HP
10/30/2016,ĐH0003895,KH-0150,P-144,1,6225000,6225000,3735000,NV00020,CN HN
10/31/2016,ĐH0003896,KH-0151,P-069,1,1250000,1250000,750000,NV00006,CN HP
11/1/2016,ĐH0003901,KH-0152,P-138,1,52001000,52001000,31200600,NV00017,CN HCM
11/2/2016,ĐH0003907,KH-0153,P-018,1,2900000,2900000,1885000,NV00020,CN HCM
11/3/2016,ĐH0003908,KH-0154,P-145,1,26678000,26678000,17340700,NV00015,CN HCM
11/4/2016,ĐH0003908,KH-0154,P-146,1,16934000,16934000,10160400,NV00015,CN HN
11/5/2016,ĐH0003904,KH-0155,P-147,1,582573530,582573530,349544118,NV00001,CN HCM
11/6/2016,ĐH0003904,KH-0155,P-148,1,0,0,0,NV00001,CN HP
11/7/2016,ĐH0003904,KH-0155,P-149,1,0,0,0,NV00001,CN HN
11/8/2016,ĐH0003904,KH-0155,P-150,1,0,0,0,NV00001,CN HP
11/9/2016,ĐH0003904,KH-0155,P-151,1,760500000,760500000,456300000,NV00001,CN HP
11/10/2016,ĐH0003904,KH-0155,P-152,1,277875000,277875000,166725000,NV00001,CN HN
11/11/2016,ĐH0003904,KH-0155,P-153,1,267120000,267120000,160272000,NV00001,CN HCM
11/12/2016,ĐH0003904,KH-0155,P-154,1,43875000,43875000,26325000,NV00001,CN HN
11/13/2016,ĐH0003904,KH-0155,P-155,1,204534460,204534460,132947399,NV00001,CN HP
11/14/2016,ĐH0003904,KH-0155,P-156,1,0,0,0,NV00001,CN HN
11/15/2016,ĐH0003904,KH-0155,P-157,1,0,0,0,NV00001,CN HN
11/16/2016,ĐH0003904,KH-0155,P-158,1,0,0,0,NV00001,CN HCM
11/17/2016,ĐH0003905,KH-0155,P-159,1,351000000,351000000,228150000,NV00001,CN HCM
11/18/2016,ĐH0003905,KH-0155,P-160,1,274432000,274432000,192102400,NV00001,CN HCM
11/19/2016,ĐH0003905,KH-0155,P-161,1,245971227,245971227,147582736.2,NV00001,CN HP
