Mã KH,Khách hàng
KH-0032,CÔNG TY TNHH MAINETTI (VIỆT NAM)
KH-0033,CÔNG TY TNHH CƠ KHÍ MINH ĐỨC
KH-0034,CÔNG TY TNHH CBRE (VIỆT NAM)
KH-0035,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP LONG SƠN
KH-0036,CÔNG TY TNHH TIN HỌC VIỄN THÔNG VINAFORE
KH-0037,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT BỊ TIN HỌC AN PHÚ
KH-0038,CÔNG TY TNHH EPSON VIỆT NAM
KH-0039,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BẢN VIỆT
KH-0040,CÔNG TY TNHH KỸ THUẬT VÀ CÔNG NGHỆ MINH ANH
KH-0041,Công ty Luật TNHH GRUENKORN & PARTNER
KH-0042,CÔNG TY LUẬT TNHH QUỐC TẾ VIỆT NAM (VILAF – HỒNG ĐỨC)
KH-0043,CÔNG TY  TNHH  TM DV  TRANG THIẾT BỊ Y TẾ TPT MIỀN NAM
KH-0044,CÔNG TY TRÁCH NHIỆM HỮU HẠN ORGANO VIỆT NAM
KH-0045,CÔNG TY TRÁCH NHIỆM HỮU HẠN  NTT DATA VIỆT NAM
KH-0046,CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ ACT
KH-0047,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC VIỄN THÔNG THỊNH PHÁT
KH-0048,CÔNG TY TNHH TƯ VẤN THIẾT KẾ TUỆ QUANG PT
KH-0049,CÔNG TY TNHH WINS SOFT
KH-0050,CÔNG TY TNHH AMOREPACIFIC VIỆT NAM
KH-0051,CÔNG TY TNHH GIẢI PHÁP TÍCH HỢP HỆ THỐNG H.N.T.C
KH-0052,CÔNG TY CỔ PHẦN SAO VIỆT
KH-0053,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ IN CHUYỂN KTK
KH-0054,Công Ty TNHH Thương Mại Dịch Vụ ICT Sài Gòn
KH-0055,Công ty TNHH MTV Bluzen Vina
KH-0056,Chi nhánh tại TP.HCM Công ty TNHH Hệ thống Thông tin Ngân hàng Tài chính FPT (TP.HN)
KH-0057,CÔNG TY TRÁCH NHIỆM HỮU HẠN FM SUPPLY CHAIN VIỆT NAM
KH-0058,CÔNG TY TNHH MONACO HEALTHCARE
KH-0059,Công ty TNHH PMAS
KH-0060,Công ty TNHH MTV Thương mại và Dịch vụ ELITE
KH-0061,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VI TÍNH SAO MAI
KH-0062,Công Ty TNHH GreyStones Data Systems Việt Nam
KH-0063,Công ty TNHH MTV CK KT Trí Trung
KH-0064,LIÊN DANH NK-JIC-PBJ-JTC-TEC-TEDI SOUTH - TRICC
KH-0065,CÔNG TY TNHH BONFIGLIOLI VIỆT NAM
KH-0066,CÔNG TY TNHH CÔNG NGHỆ G7
KH-0067,Công ty TNHH KAHOKU LIGHTING SOLUTIONS Việt Nam
KH-0068,CÔNG TY TNHH GROOVE TECHNOLOGY VIETNAM
KH-0069,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM THIÊN Á
KH-0070,CÔNG TY TNHH THƯƠNG MẠI NGỌC THIÊN BẢO
KH-0071,CÔNG TY TNHH SANCOH VIỆT NAM
KH-0072,Chi nhánh tại TP.Hồ Chí Minh Công ty TNHH Hệ thống thông tin FPT (TP. Hà Nội)
KH-0073,Công ty cổ phần Công nghệ trực tuyến Tầm Nhìn Việt
KH-0074,Công ty TNHH Khu dân cư LeadGroup
KH-0075,Công ty TNHH METKRAFT
KH-0076,CÔNG TY TNHH MITRA ADIPERKASA VIỆT NAM
KH-0077,CÔNG TY TNHH DÂY CÁP ĐIỆN TAI SIN (VN)
KH-0078,Công ty TNHH Dịch vụ Thắng Lợi
KH-0079,CÔNG TY TNHH AYTEC VIỆT NAM
KH-0080,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NOZV VIỆT NAM
KH-0081,CÔNG TY TNHH  SYSONE
KH-0082,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ NÉT SỐ
KH-0083,Công ty TNHH YKK Việt Nam
KH-0084,CÔNG TY TNHH TỔ HỢP NHẤT VIỆT
KH-0085,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THỨC ĂN CHĂN NUÔI BÌNH MINH
KH-0086,CÔNG TY TNHH XÂY DỰNG VÀ KINH DOANH NHÀ ĐIỀN PHÚC THÀNH
KH-0087,CÔNG TY TNHH THIẾT BỊ ĐO LƯỜNG VÀ ĐIỀU KHIỂN ĐẠI VIỆT
KH-0088,Công ty TNHH Công Nghệ Thông Tin Chân Trời Sáng
KH-0089,Công ty TNHH MTV K-Tech
KH-0090,CÔNG TY TNHH YOUYOUWINGS
KH-0091,CÔNG TY CP CÔNG NGHỆ TIÊN PHONG
KH-0092,Công ty TNHH thương mại và dịch vụ Song Linh
KH-0093,CTY TNHH CÔNG NGHỆ VÀ PHẦN MỀM NAM Á
KH-0094,Công ty TNHH Shiseido Việt Nam
KH-0095,CÔNG TY CP HỆ THỐNG CÔNG NGHỆ ÁNH LAM
KH-0096,CHI NHÁNH CÔNG TY TNHH MTV - TỔNG CÔNG TY PHÁT ĐIỆN 3 - CÔNG TY DỊCH VỤ SỬA CHỮA CÁC NHÀ MÁY ĐIỆN
KH-0097,Công ty TNHH Đặc Rạng Việt Nam.
KH-0098,Công ty TNHH Schenker Việt Nam
KH-0099,CÔNG TY TNHH YKK AP FACADE VIỆT NAM
KH-0100,CÔNG TY CỔ PHẦN KIẾN TRÚC VÀ THƯƠNG MẠI NSP VIỆT NAM
KH-0101,Công Ty TNHH Fairfield Việt Nam
KH-0102,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ
KH-0103,Công ty CP Phát triển Điện lực Thăng Long
KH-0104,CÔNG TY TNHH VINA-CPK
KH-0105,Công Ty TNHH Jang Won Tech Vina
KH-0106,Công Ty TNHH Thương Mại Dịch Vụ Viết Quang
KH-0107,CÔNG TY TNHH TRẦN VIỆT PHÁT
KH-0108,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRUNG NGUYÊN
KH-0109,CÔNG TY TNHH MỘT THÀNH VIÊN HIỆP THỊNH
KH-0110,CÔNG TY CỔ PHẦN CÔNG NGHỆ ĐẠI TRẦN GIA
KH-0111,Công ty Cổ phần Tiến Bộ Quốc Tế
KH-0112,Công ty TNHH Thương mại Kỹ thuật Tin học Anh Ngọc
KH-0113,CÔNG TY TNHH TIẾP VẬN KINTETSU VIỆT NAM
KH-0114,CÔNG TY TNHH MỘT THÀNH VIÊN KHÁCH SẠN SUNWAY HÀ NỘI
KH-0115,Công ty cổ phần Ipos.vn
KH-0116,Văn phòng Đại diện công ty Taisei tại Hà Nội
KH-0117,Công ty Cổ phần Đàug Tư Công nghệ STI
KH-0118,CÔNG TY CỔ PHẦN PIN HÀ NỘI
KH-0119,Công ty TNHH Sinh Nam
KH-0120,Công ty TNHH thương mại kỹ thuật Hải Quang
KH-0121,Công ty TNHH IKO THOMPSON VIỆT NAM
KH-0122,Công ty TNHH TotalGaz Việt Nam
KH-0123,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ HOÀN HẢO
KH-0124,Công Ty Cổ Phần Điện Ii
KH-0125,Công Ty Cổ Phần Thương Mại Và Phát Triển Kỹ Thuật Cao Vihoth
KH-0126,Công ty TNHH Dịch Vụ Tin Học Rồng Việt
KH-0127,Công ty cổ phần phân phối và bán lẻ BT
KH-0128,Công ty Công nghệ thông tin Điện lực miền Bắc.
KH-0129,Công Ty TNHH Cpro Việt Nam
KH-0130,Công ty TNHH Deloitte Việt Nam
KH-0131,CÔNG TY CỔ PHẦN SONGWOL VINA
KH-0132,Bảo hiểm xã hội tỉnh Hà Giang
KH-0133,CÔNG TY CỔ PHẦN KIẾN TRÚC ĐỒNG NHÂN
KH-0134,Công ty TNHH Nông Lâm Sản Tiên Phước
KH-0135,Công ty TNHH EAGLE ONE ENTERPRISE
KH-0136,Công ty cổ phần SRP
KH-0137,CÔNG TY TNHH PHÂN PHỐI SYNNEX FPT
KH-0138,Công ty TNHH giải pháp công trường xây dựng Doosan Việt Nam
KH-0139,Công Ty TNHH Xây Dựng Sandstone
KH-0140,CÔNG TY TNHH DỊCH VỤ TIN HỌC FPT
KH-0141,CÔNG TY CỔ PHẦN TRUNG VIỆT HƯNG
KH-0142,Công ty cổ phần Act Brain Việt Nam
KH-0143,CÔNG TY CP VI TÍNH MEKONG
KH-0144,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ PHÚ SINH KIM
KH-0145,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI
KH-0146,LIÊN ĐOÀN BÓNG ĐÁ NAUY
KH-0147,Công TY TNHH Công nghệ Nettop Việt Nam
KH-0148,Công Ty TNHH Sojitz Viet Nam
KH-0149,CÔNG TY CỔ PHẦN ZAKKA
KH-0150,CÔNG TY TNHH THƯƠNG MẠI VÀ PHÁT TRIỂN CÔNG NGHỆ AE VIỆT NAM
KH-0151,Công Ty Cổ Phần Style Stone
KH-0152,CÔNG TY CỔ PHẦN THÁI MINH
KH-0153,Công Ty CP Công Nghệ Kỹ Thuật Số - HiTD
KH-0154,CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP VÀ CHUYỂN GIAO CÔNG NGHỆ VIỆT THẮNG
KH-0155,Nhà máy sữa đậu nành Việt Nam Vinasoy - Chi nhánh Công ty Cổ phần Đường Quảng Ngãi
KH-0156,Công ty TNHH Xây dựng C.A.D
KH-0157,CÔNG TY TNHH YOUNGONE NAM ĐỊNH
KH-0158,Chi Nhánh công ty TNHH Em-Tech Việt Nam tại Nghệ An
KH-0159,Chi nhánh Công ty TNHH Bơm EBARA Việt Nam tại Hà Nội
KH-0160,CÔNG TY TNHH CÔNG NGHỆ CAO BÁCH KHOA
KH-0161,Công Ty TNHH Bao Bì MM Vidon
KH-0162,Công Ty TNHH Menkar
KH-0163,Công ty TNHH Một Thành Viên Việt Giay
KH-0164,TRƯỜNG TIỂU HỌC DÂN LẬP VIỆT MỸ
KH-0165,TRƯỜNG THCS VIỆT MỸ
KH-0166,CÔNG TY TNHH CÔNG NGHỆ 360 VIỆT NAM
KH-0167,CÔNG TY TNHH MỘT THÀNH VIÊN TÍN PHÁT COMPUTER
KH-0168,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN VIỆT NAM
KH-0169,CÔNG TY TNHH THƯƠNG MẠI KẾT NỐI AN TOÀN
KH-0170,Công ty TNHH Pacisoft Việt Nam
KH-0171,CÔNG TY TNHH MÁY TÍNH ĐỨC AN
KH-0172,Công ty TNHH Silver Heritage Việt Nam.
KH-0173,CÔNG TY CỔ PHẦN TÍCH HỢP GIẢI PHÁP KST
KH-0174,CÔNG TY TNHH GIẢI PHÁP AN NINH KẾT NỐI CÔNG NGHỆ CAO
KH-0175,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TSC VIỆT NAM
KH-0176,CÔNG TY TNHH KDDI VIỆT NAM
KH-0177,CÔNG TY VNPT GLOBAL HK LTD
KH-0178,CÔNG TY TNHH MỘT THÀNH VIÊN XĂNG DẦU BẾN TRE
KH-0179,CÔNG TY TNHH GIANG KHÁNH VINH
KH-0180,Công Ty TNHH Draeger Việt Nam
KH-0181,Công ty TNHH Thakral One – Chi nhánh tại Hà Nội
KH-0182,CÔNG TY TNHH  MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ THỊNH PHÁT COMPUTER
KH-0183,CÔNG TY CỔ PHẦN TRIHAN
KH-0184,Chi nhánh Công ty cổ phần kho vận Jupiter Việt Nam tại Hà Nội
KH-0185,Chi nhánh công ty cổ phần giao nhận hàng hoá JUPITER- PACIFIC tại thành phố Hà Nội
KH-0186,CÔNG TY TNHH OVI CABLES (VIỆT NAM)
KH-0187,CÔNG TY CỔ PHẦN ĐIỆN LỰC KHÁNH HÒA
KH-0188,Công ty TNHH công nghiệp ADCEL Việt Nam
KH-0189,CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ ALSOK VIỆT NAM
KH-0190,Công ty TNHH Công nghệ Info Việt Nam
KH-0191,CÔNG TY TNHH VIETTEL - CHT
KH-0192,HỢP TÁC XÃ MÂY TRE LÁ BA NHẤT
KH-0193,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ TIẾN THÀNH
KH-0194,CÔNG TY TNHH ESOFTFLOW
KH-0195,CÔNG TY TNHH FUJI SEAL VIỆT NAM
KH-0196,CÔNG TY CP MÁY TÍNH – TRUYỀN THÔNG- ĐIỀU KHIỂN 3C
KH-0197,CÔNG TY TNHH IMAX
KH-0198,CÔNG TY TNHH CÔNG TY KHAI THÁC ĐÁ VÔI YABASHI VIỆT NAM
KH-0199,CÔNG TY CỔ PHẦN REECOM GROUP
KH-0200,CÔNG TY TNHH PHÁT TRIỂN NAM HỘI AN
KH-0201,CÔNG TY TNHH SHIFT ASIA
KH-0202,Công ty CP Giải pháp Siêu Việt
KH-0203,Công Ty TNHH ENKEI Việt Nam
KH-0204,CÔNG TY CỔ PHẦN DFM-ENGINEERING
KH-0205,CÔNG TY TNHH THIẾT BỊ PHỤ TÙNG CÔNG NGHIỆP VIỆT NAM
KH-0206,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ DU LỊCH SONG ANH
KH-0207,CÔNG TY TNHH CÔNG NGHIỆP FULLWEI VIỆT NAM
KH-0208,CÔNG TY TNHH THIẾT BỊ IN SPM
KH-0209,VĂN PHÒNG ĐĂNG KÝ ĐẤT ĐAI TỈNH BẮC NINH
KH-0210,CÔNG TY TNHH MẠNG THÔNG TIN PHẲNG
KH-0211,CÔNG TY TNHH KONDO TEKKO VIỆT NAM
KH-0212,CÔNG TY TNHH DONGSUNG VINA
KH-0213,CÔNG TY CỔ PHẦN CÔNG NGHỆ & KHOA HỌC SÔNG HỒNG
KH-0214,CÔNG TY CỔ PHẦN ĐẤT HIẾM VIỆT NAM
KH-0215,CÔNG TY CỔ PHẦN PHẦN MỀM QUẢN LÝ DOANH NGHIỆP
KH-0216,CÔNG TY TRÁCH NHIỆM HỮU HẠN INOAC VIỆT NAM
KH-0217,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ DDN
KH-0218,CÔNG TY CỔ PHẦN TƯ VẤN VÀ DỊCH VỤ CÔNG NGHỆ THÔNG TIN KINH DOANH MẠNG LƯỚI CÔNG NGHỆ CAO
KH-0219,ASPEN RESOURCES PTE LTD
KH-0220,CÔNG TY TNHH BAO BÌ NEXGEN VIỆT NAM
KH-0221,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TIN HỌC KHÁNH PHƯƠNG
KH-0222,CÔNG TY CỔ PHẦN I.P.L
KH-0223,CÔNG TY TNHH THÀNH LỢI
KH-0224,Chi nhánh Công Ty TNHH Mazars Việt Nam Tại Hà Nội
KH-0225,CÔNG TY TNHH BƠM EBARA VIỆT NAM
KH-0226,CÔNG TY TNHH BR24 VIETNAM
KH-0227,CÔNG TY TNHH CANON MARKETING VIỆT NAM
KH-0228,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HÓA NỘI BÀI
KH-0229,CÔNG TY CỔ PHẦN VIỄN THÔNG GIANG NAM
KH-0230,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu Khôi Nguyên
KH-0231,CÔNG TY CỔ PHẦN CAO SU SAO VÀNG
KH-0232,CÔNG TY TNHH MỘT THÀNH VIÊN ESPERSEN VIỆT NAM
KH-0233,CÔNG TY TNHH VIỆT PAN - PACIFIC THANH HÓA
KH-0234,Công Ty TNHH Umec Việt Nam
KH-0235,CÔNG TY CỔ PHẦN CÔNG NGHỆ MÁY TÍNH VÀ KIẾN TRÚC HÀ NỘI
KH-0236,CÔNG TY CỔ PHẦN CÔNG NGHỆ THIÊN VẬN
KH-0237,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ ỨNG DỤNG TOÀN CẦU
KH-0238,CÔNG TY TNHH PHẦN MỀM FPT
KH-0239,CỔNG THÔNG TIN ĐIỆN TỬ NGHỆ AN
KH-0240,Công ty TNHH Extrans Việt Nam
KH-0241,Công ty TNHH May Xuất Nhập Khẩu Đức Thành 3
KH-0242,CÔNG TY CỔ PHẦN HÃNG SƠN ĐÔNG Á
KH-0243,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VIỆT SAO
KH-0244,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU HSC39
KH-0245,CÔNG TY TNHH HONDA TRADING VIỆT NAM
KH-0246,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MITU
KH-0247,Công ty CP Dịch vụ Công nghệ Tin học HPT
KH-0248,CÔNG TY CỔ PHẦN DƯỢC PHA NAM
KH-0249,CHI NHÁNH CSP LEGAL LLC TẠI HÀ NỘI
KH-0250,CÔNG TY TNHH MỘT THÀNH VIÊN KARCHER
KH-0251,CÔNG TY TNHH NETMARKS VIỆT NAM
KH-0252,CÔNG TY TNHH MOBILE MAPPING VIỆT NAM
KH-0253,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM PHÚC LỘC THỌ
KH-0254,CÔNG TY TNHH LG ELECTRONICS VIỆT NAM HẢI PHÒNG
KH-0255,"ACE TECH Co., Ltd"
KH-0256,Công Ty Cổ Phần Chăm Sóc Công Nghệ Thông Tin
KH-0257,CÔNG TY CỔ PHẦN CÔNG NGHỆ BNH VIỆT NAM
KH-0258,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUỐC TẾ HOÀN CẦU
KH-0259,KRYSTAD CONSULT
KH-0260,CÔNG TY TNHH VALQUA VIỆT NAM
KH-0261,Cục đăng kiểm Việt Nam
KH-0262,CÔNG TY CỔ PHẦN CÔNG NGHỆ TÂM HỢP NHẤT
KH-0263,Công ty TNHH Thịnh Phát Auto
KH-0264,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG
KH-0265,CÔNG TY CỔ PHẦN FOODY
KH-0266,CÔNG TY CỔ PHẦN CÔNG NGHỆ BÌNH MINH
KH-0267,Khách hàng mua lẻ-Giao hàng thu tiền ngay
KH-0268,Công ty TNHH Netika Business Solution Việt Nam
KH-0269,Công ty TNHH Quốc tế Delta
KH-0270,CÔNG TY TNHH GEROC
KH-0271,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ VÀ THƯƠNG MẠI TRÚC VÂN
KH-0272,Công ty Cổ Phần Thiết Bị Máy Tính An Phú Hưng
KH-0273,CÔNG TY CỔ PHẦN CÔNG NGHỆ SOTA VIỆT NAM
KH-0274,CÔNG TY TRÁCH NHIỆM HỮU HẠN IMG VIỆT NAM
KH-0275,CÔNG TY CP IN MINH PHƯƠNG
KH-0276,Công ty TNHH Thương mại dịch vụ Triparest
KH-0277,BƯU ĐIỆN TỈNH SƠN LA
KH-0278,CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.O
KH-0279,Công Ty TNHH Yoosung KN Việt Nam
KH-0280,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI KHO ĐỎ
KH-0281,CÔNG TY TNHH BOTANICAL COSMETIC
KH-0282,CÔNG TY TNHH SIÊU SIÊU NHỎ
KH-0283,CÔNG TY CỔ PHẦN ĐẦU TƯ SMART FUN
KH-0284,CÔNG TY TNHH BESTPLANT
KH-0285,CÔNG TY TNHH THÔNG TIN NTT (VIỆT NAM)
KH-0286,CÔNG TY TNHH DAN TI
KH-0287,CÔNG TY TNHH NAM&CO LONDON
KH-0288,CÔNG TY CỔ PHẦN DỊCH VỤ GIẢI PHÁP CÔNG NGHỆ MẠNG 10
KH-0289,CÔNG TY TNHH SỮA CHO TƯƠNG LAI
KH-0290,CÔNG TY CỔ PHẦN ĐIỆN VÀ CHIẾU SÁNG AN PHÚ
KH-0291,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ BẤT ĐỘNG SẢN HÒA BÌNH - KHÁCH SẠN NOVOTEL SUITES HÀ NỘI
KH-0292,CÔNG TY TNHH CƠ ĐIỆN LẠNH - THƯƠNG MẠI HÒA BÌNH
KH-0293,Công ty TNHH Công nghiệp nặng Doosan Việt Nam
KH-0294,Ngân Hàng Thương Mại Cổ Phần Kỹ Thương Việt Nam
KH-0295,Công Ty Cổ Phần Công Nghệ Sao Bắc Đẩu
KH-0296,Chi Nhánh CTy TNHH CARGILL Việt Nam  tại Hưng yên
KH-0297,Công ty TNHH Quảng cáo Duy Nguyên
KH-0298,Công Ty Cổ Phần Thương Mại Và Công Nghệ Thông Tin Tân Việt
KH-0299,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DU LỊCH TẦM NHÌN VIỆT
KH-0300,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI ĐIỆN BÌNH SƠN
KH-0301,Công Ty TNHH Một Thành Viên Techcoms
KH-0302,Công ty Cổ Phần Visco
KH-0303,Công ty cổ phần 3B
KH-0304,Công Ty Cổ Phần Đầu Tư Xây Dựng Thương Mại Công Nghệ Thăng Long
KH-0305,Phòng Tài Vụ - Viện Quy Hoạch Thủy Lợi
KH-0306,TRUNG TÂM PHÁT TRIỂN THƯƠNG MẠI ĐIỆN TỬ
KH-0307,NGÂN HÀNG HỢP TÁC XÃ VIỆT NAM
KH-0308,Công ty TNHH Medikit Việt Nam
KH-0309,Công Ty TNHH Thương Mại Hoàng Phát
KH-0310,Công ty Cổ phần Sản xuất và Dịch vụ Máy tính 3C
KH-0311,Công ty TNHH Thương mại và xuất nhập khẩu D&C Việt Nam
KH-0312,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG TECCOM
KH-0313,CÔNG TY TNHH QUẢN LÝ XÂY DỰNG VINCOM 1
KH-0314,Công ty TNHH Đầu tư xây dựng và thương mại Ngãi Cầu
KH-0315,Công Ty TNHH thương mại kỹ thuật Thiên Phú
KH-0316,CÔNG TY TNHH CÔNG NGHỆ ĐỘT DẬP MOCHIZUKI VIỆT NAM
KH-0317,Công ty TNHH Dịch Vụ Số Hợp Quân
KH-0318,Công ty TNHH Ogishi Việt Nam
KH-0319,CÔNG TY CỔ PHẦN VIỆT NGA
KH-0320,CHI NHÁNH CÔNG TY TNHH TODA VIỆT NAM TẠI HÀ NỘI
KH-0321,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TRANG NHI
KH-0322,CÔNG TY TNHH VIETNAM JINTUO ELECTRONICS
KH-0323,CÔNG TY TNHH MTV THƯƠNG MẠI ITCG VIỆT NAM
KH-0324,Công ty CP Đầu tư và Phát triển Đô thị Việt Hưng
KH-0325,CÔNG TY TNHH CÔNG TRÌNH CẤP THOÁT NƯỚC & HẠ TẦNG ĐÔ THỊ M.A.T
KH-0326,CÔNG TY TNHH TƯ VẤN MRI
KH-0327,CÔNG TY TRÁCH NHIỆM HỮU HẠN DIGITAL DAESUNG VIỆT NAM
KH-0328,CÔNG TY TNHH POWER LOGICS VINA
KH-0329,CÔNG TY CỔ PHẦN QUỐC TẾ WORLD STAR
KH-0330,CÔNG TY CỔ PHẦN TẬP ĐOÀN VBCC
KH-0331,CHI NHÁNH MIỀN TRUNG CÔNG TY CỔ PHẦN TU BỔ DI TÍCH TW-VINAREMON
KH-0332,CÔNG TY TNHH PIN GP (VIỆT NAM)
KH-0333,CÔNG TY TNHH THỜI TRANG STAR
KH-0334,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG CẢNG - ĐƯỜNG THUỶ
KH-0335,CÔNG TY TNHH NISSHO ELECTRONICS VIỆT NAM
KH-0336,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI VIETSUN
KH-0337,CÔNG TY CỔ PHẦN HỒNG LAM
KH-0338,CÔNG TY CỔ PHẦN PHÁT TRIỂN NGUỒN NHÂN LỰC THÁI SƠN
KH-0339,CÔNG TY TNHH CÔNG NGHỆ VÀ GIẢI PHÁP THÔNG MINH
KH-0340,CÔNG TY TNHH KỸ NGHỆ BANICO
KH-0341,Công Ty Cổ Phần YoTek
KH-0342,CÔNG TY CỔ PHẦN BÁCH TOÀN
KH-0343,TỔNG CÔNG TY CỔ PHẦN BIA- RƯỢU- NƯỚC GIẢI KHÁT HÀ NỘI
KH-0344,CÔNG TY CỔ PHẦN TƯ VẤN  QUẢN TRỊ DOANH NGHIỆP TINH VÂN
KH-0345,CÔNG TY TNHH HJC VINA
KH-0346,CÔNG TY CP - TẬP ĐOÀN THAIGROUP
KH-0347,Tổng cục hậu cần - Bộ quốc phòng
KH-0348,CÔNG TY CỔ PHẦN ỨNG DỤNG VÀ PHÁT TRIỂN CÔNG NGHỆ THÔNG TIN
KH-0349,Công Ty TNHH Thiết Bị Tin Học Vinatech
KH-0350,BAN PHÁT TRIỂN CỘNG ĐỒNG XÃ VÂN THANH
KH-0351,CÔNG TY CỔ PHẦN XÂY LẮP VÀ ĐIỆN NƯỚC QUANG MINH
KH-0352,CÔNG TY TNHH THÁI HOA ĐÔ
